Size,Time,average_ob,max_ob,min_ob
300,29.451780,2097.469640,2137,2050
400,40.287680,2961.518420,3007,2908
500,51.527840,3854.614060,3904,3791
600,64.593340,4792.825420,4852,4714
700,76.385240,5749.193000,5816,5686
800,90.138260,6721.008080,6787,6648
900,102.363840,7709.607520,7780,7636
1000,116.036600,8707.200680,8777,8624
1100,131.121820,9738.410260,9815,9655
1200,145.062960,10783.846480,10867,10697
1300,161.374720,11835.233640,11925,11731
1400,175.152900,12896.257720,12999,12802
1500,188.446300,13961.423140,14059,13867
1600,202.938940,15040.085620,15138,14931
1700,218.878560,16126.940400,16225,16028
1800,231.227520,17217.158820,17324,17121
1900,247.996540,18313.818300,18410,18211
2000,258.733200,19412.568840,19504,19311
2100,273.203940,20533.711000,20634,20404
2200,281.403160,21674.671500,21780,21567
2300,296.214080,22818.192860,22925,22686
2400,302.943300,23965.300620,24089,23834
