Size,Time,average_ob,max_ob,min_ob
10,0.989630,22.665980,25,16
20,1.608170,63.508390,69,52
30,2.373860,111.495310,119,96
40,3.101480,165.127620,176,145
50,4.048850,221.901780,235,202
60,4.988510,281.077710,295,258
70,5.898790,343.535990,359,319
80,6.725490,408.362240,428,382
90,7.774120,474.493610,495,450
100,8.763870,541.849120,563,514
110,9.939460,610.674350,633,578
120,10.861240,680.193760,703,651
130,11.666540,750.954140,774,721
140,13.379500,825.153500,851,790
150,14.034950,899.727150,927,865
160,14.709890,974.639340,1002,937
170,17.308210,1050.707740,1082,1014
180,17.838970,1126.985050,1158,1087
190,18.609590,1203.625940,1234,1160
200,19.410470,1281.756750,1312,1242
210,20.763440,1360.467890,1397,1321
220,21.724790,1439.345640,1477,1397
230,23.810700,1518.710170,1554,1482
240,27.003990,1598.407480,1632,1555
250,26.001870,1678.340950,1713,1637
260,26.196980,1759.987040,1794,1718
270,27.478340,1844.046140,1880,1795
280,28.795240,1928.332590,1964,1885
290,29.587400,2012.701400,2051,1964
300,31.673400,2097.483830,2136,2049
310,32.352650,2182.344930,2222,2127
320,33.375340,2267.413120,2307,2218
330,34.786440,2353.326280,2395,2299
340,35.551040,2439.426140,2486,2378
350,36.447540,2525.568210,2568,2471
360,38.051080,2612.075920,2659,2552
370,39.162510,2698.624980,2742,2643
380,40.089010,2785.186930,2830,2734
390,41.824280,2872.926980,2918,2817
400,42.908920,2961.501440,3009,2908
410,45.446640,3050.152790,3097,2992
420,50.049310,3138.875620,3186,3084
430,50.954620,3227.707380,3276,3169
440,53.330520,3316.609010,3362,3259
450,51.759980,3405.830350,3458,3353
460,53.484990,3495.457780,3541,3442
470,54.536370,3585.143600,3634,3525
480,54.875880,3674.756250,3725,3617
490,56.052020,3764.798680,3823,3708
