Size,Time,average_ob,max_ob,min_ob
300,20.960700,2581.068600,3534,2162
400,27.615800,3667.351400,5317,3071
500,34.735600,4804.542200,6528,4100
600,42.957800,5978.462900,8671,5092
700,51.082000,7188.220200,9859,6184
800,59.744700,8428.958400,11526,7258
900,67.592800,9699.217500,12929,8332
1000,76.447600,10991.911700,14664,9496
1100,85.289300,12303.832100,16204,10654
1200,95.355500,13612.015000,18239,11628
1300,104.395400,14966.822600,20099,12891
1400,113.441600,16316.485900,21780,14157
1500,123.743800,17688.870900,25280,15456
1600,132.960700,19074.594200,24491,16723
1700,147.229900,20465.620400,26849,17935
1800,159.172500,21865.211100,28357,19289
1900,168.539200,23309.442300,30615,20301
2000,179.201100,24732.876200,33354,21754
2100,190.677000,26173.618600,34107,23140
2200,201.238600,27618.165600,35601,24170
2300,213.089900,29066.276100,37029,25739
2400,227.009700,30541.176400,39744,26754
