Size,Time,average_ob,max_ob,min_ob
300,24.442540,2582.314480,3735,2142
400,34.191280,3669.611660,5366,3069
500,42.280340,4807.629400,7239,3998
600,51.980740,5986.385840,8557,5078
700,63.424260,7196.682420,10312,6136
800,74.635080,8434.023080,11989,7240
900,84.629940,9700.794480,13405,8372
1000,95.954620,10985.992140,16072,9386
1100,107.276500,12295.858500,17688,10485
1200,121.937980,13618.300280,18780,11739
1300,128.644220,14963.255740,20192,12969
1400,144.952700,16321.678000,22459,14166
1500,160.245620,17687.509320,23921,15310
1600,166.488820,19070.423600,25363,16481
1700,178.716060,20465.218820,27836,17737
1800,190.286220,21877.395080,29196,19184
1900,199.302000,23306.927160,31161,20348
2000,211.270860,24737.618340,32468,21351
2100,223.760600,26173.019900,38627,22607
2200,240.972500,27625.552860,35972,24146
2300,256.790020,29070.064360,39447,25282
2400,264.196140,30539.708520,40818,26610
