Size,Time,average_ob,max_ob,min_ob
1000,3.896000,751.471000,1000,1
1100,3.134545,826.951818,1100,1
1200,2.983333,906.301667,1200,1
1300,2.895385,967.178462,1300,1
1400,2.563571,1048.482143,1400,1
1500,2.977333,1129.984667,1500,1
1600,2.666875,1190.935000,1600,1
1700,2.735294,1280.395294,1700,1
1800,3.426667,1343.492222,1800,1
1900,2.961579,1421.170526,1900,1
2000,3.224500,1495.650000,2000,1
2100,3.374762,1565.920000,2100,1
2200,3.716364,1643.571364,2200,1
2300,4.192609,1724.972609,2300,1
2400,3.985417,1786.882917,2400,1
2500,4.185200,1861.014000,2500,1
2600,4.255769,1953.104615,2600,1
2700,4.484815,2027.764815,2700,1
2800,4.703571,2102.940357,2800,1
2900,4.704483,2175.926207,2900,1
3000,5.009667,2249.299667,3000,1
3100,5.232903,2325.696774,3100,1
3200,5.152812,2406.345625,3200,1
3300,5.091212,2475.048182,3300,1
3400,5.370882,2565.137353,3400,1
3500,5.647714,2633.187714,3500,1
3600,5.859722,2683.884167,3600,1
3700,6.105946,2774.954595,3700,1
3800,6.301316,2858.073421,3800,1
3900,6.255128,2904.002564,3900,1
4000,6.534500,2995.030750,4000,1
4100,6.489512,3071.838780,4100,1
4200,6.760000,3156.914524,4200,1
4300,6.915814,3219.261860,4300,1
4400,7.001364,3301.381136,4400,1
4500,7.129778,3379.686000,4500,1
4600,7.228261,3453.911522,4600,1
4700,7.402340,3521.344043,4700,1
4800,7.596875,3603.947292,4800,1
4900,7.642449,3683.167143,4900,1
5000,7.801200,3736.964200,5000,1
5100,7.933333,3812.447255,5100,1
5200,8.117308,3897.430192,5200,1
5300,8.164528,3977.376604,5300,1
5400,8.149259,4059.016667,5400,1
5500,8.315273,4133.102545,5500,1
5600,8.675357,4205.665893,5600,1
5700,8.677544,4279.871930,5700,1
5800,9.044138,4321.129655,5800,1
5900,8.566441,4446.490847,5900,1
6000,8.960500,4502.674500,6000,1
6100,9.251311,4591.475082,6100,1
6200,9.305484,4639.715161,6200,1
6300,9.564603,4709.077460,6300,1
6400,9.558906,4784.987656,6400,1
6500,9.412154,4865.087692,6500,1
6600,10.029697,4961.910606,6600,1
6700,10.316418,5026.734328,6700,1
6800,10.201471,5102.280000,6800,1
6900,10.205362,5158.184058,6900,1
7000,10.278286,5258.004429,7000,1
7100,10.517465,5325.413944,7100,1
7200,10.593611,5386.730417,7200,1
7300,10.784110,5473.291370,7300,1
7400,10.905541,5538.764459,7400,1
7500,10.974133,5622.294000,7500,1
7600,11.033026,5694.765526,7600,1
7700,11.220649,5780.720649,7700,1
7800,11.227051,5846.690000,7800,1
7900,11.259494,5923.024684,7900,1
8000,11.533750,5982.441250,8000,1
8100,11.553951,6075.356667,8100,1
8200,12.294878,6163.017561,8200,1
8300,12.321928,6230.485542,8300,1
8400,12.043571,6303.664524,8400,1
8500,12.386000,6357.512118,8500,1
8600,12.396512,6450.620814,8600,1
8700,12.295517,6531.966667,8700,1
8800,12.247045,6593.915795,8800,1
8900,12.591348,6690.922584,8900,1
9000,12.861111,6759.014444,9000,1
9100,13.041538,6802.975055,9100,1
9200,12.861087,6911.185870,9200,1
9300,13.136774,7001.175591,9300,1
9400,13.193723,7045.557660,9400,1
9500,13.336000,7144.123158,9500,1
9600,13.539583,7216.849792,9600,1
9700,13.715464,7263.745464,9700,1
9800,13.722041,7333.979082,9800,1
9900,13.899495,7409.580606,9900,1
